Name,IMO,Flag,Risk status,Vessel type,Age,Beneficial owner,Commercial manager,Registered owner,ISM manager,Port of Registry,Call Sign,MMSI,Classification Society,Status,Length (m),Width (m),Draught (m),Gross Tonnage,Net Tonnage,Deadweight Tonnage,Ownership Changes,Name Changes,Last Change Date,Owner Sanctions,Manager Reputation,Latitude,Longitude,Speed (knots),Course,Heading,Last Update,AIS Status,Signal Quality,Accuracy,Spoofing Risk,Dark Activity,STS Transfer Events,OFAC Listed,UN Sanctions,EU Sanctions,Total Hits,Last Violation,Detention History,Port State Control,Deficiency Count,Banning Status,Trade Route Risk,Current Region,Temperature,Wind Speed,Wave Height,Sea State,Piracy Zone,War Zone,Storm Area,Ice Zone,Voyage Risk
ABYAN,9349667,IR,Sanctioned,CONTAINER,18,IRAN SHIPPING LINES,OGHIAANOUS KHOROUSHAN SHIPPING,OGHIAANOUS KHOROUSHAN SHIPPING,RAHBARAN OMID DARYA SHIP MGMT,QESHM,EPBR3,422031600,IRANIAN CLASSIFICATION SOCIETY,Active,304.07m,40m,14.02m,75395,42788,81112,2,5,3-Sep-12,4,Sanctioned,29.86364,49.204849,0.1 kn,0 °,343 °,2026-05-07 09:27 (UTC+4.5),At Anchor,Roaming,90%,0,0,0,Yes,Yes,Yes,3,0,0,0,0,0,No,Persian Gulf,29°C,5 m/s,1m,moderate sea conditions,No,No,No,No,No
ADENA,9254862,HK,Sanctioned,LIQUID TANKER,23,BABYLON NAVIGATION DMCC,BABYLON NAVIGATION DMCC,TRYFO NAVIGATION LTD,BABYLON NAVIGATION DMCC,Kwai Chung,XJKT5,517641756,Russian Maritime Register of Shipping,Active,259.82m,40.5m,15.23m,81767,49510,139403,0,2,14-Jan-05,3,Sanctioned,21.62401,68.389,4.9 kn,60 °,207 °,2025-05-21 16:22 (UTC+0),Underway Using Engine,Roaming,70%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AETHER,9328170,MG,Sanctioned,LIQUID TANKER,19,-,-,-,-,Mahajanga,FOSL0,346950702,ClassNK,Active,139.49m,22.79m,12.83m,29691,20482,58852,0,2,20-Aug-14,3,Sanctioned,-0.02491,60.88028,0.7 kn,147 °,236 °,2025-09-21 21:17 (UTC+0),Underway Using Engine,Moderate,81%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AGNI,9314167,CM,Sanctioned,LIQUID TANKER,19,-,ATBARA MARITIME CORP,ATBARA MARITIME CORP,LEI GONG SHAN SHIPMANAGEMENT,Douala,ONGT8,280840221,RINA,Active,156.97m,21.42m,8.87m,62264,35138,102701,0,2,31-Aug-03,3,Sanctioned,8.70657,50.04479,0.7 kn,309 °,195 °,2025-11-29 19:02 (UTC+0),Underway Using Engine,Good,71%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AILANA,9232888,SL,Sanctioned,LIQUID TANKER,23,-,DELPHYX BEACON LTD,DELPHYX BEACON LTD,NAUTILUS FLEET MANAGEMENT LLC,Bonthe,QGDE7,527386040,Lloyd's Register,Inactive,229.36m,29.87m,13.17m,13639,7846,21182,0,2,28-Mar-20,3,Sanctioned,21.11153,56.0165,9.0 kn,256 °,63 °,2025-02-18 06:15 (UTC+0),At Anchor,Weak,80%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
AKADEMIK CHERSKIY,8770261,RU,Sanctioned,PIPELINE OPERATION UNIT,11,-,SAMARA THERMAL POWER FDN JSC,SAMARA THERMAL POWER FDN JSC,TTM SHIPPING LLC,Saint Petersburg,ZZEL1,434753631,RINA,Inactive,115.08m,20.12m,8.97m,18712,11733,14792,0,2,17-Mar-11,4,Sanctioned,41.70536,35.56511,5.4 kn,173 °,260 °,2024-04-22 20:53 (UTC+0),Underway Using Engine,Good,94%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
AKHTY,9435337,RU,Sanctioned,LIQUID TANKER,18,LLC LSKEPITAL OOO LSK,ENEYA LLC,SBK DOLINA LLC,ENEYA LLC,Rostov-on-Don,KIOU5,412959771,Lloyd's Register,Inactive,167.65m,28.02m,7.97m,55125,34946,99632,0,2,19-Sep-09,4,Sanctioned,44.08771,29.05621,3.1 kn,17 °,262 °,2025-01-24 07:02 (UTC+0),Underway Using Engine,Weak,96%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
AKSEL,9410894,RU,Sanctioned,LIQUID TANKER,17,HENNESEA TANKERS CORP,HS ESBERG LTD,HS ESBERG LTD,-,Novorossiysk,ITPJ4,231831930,China Classification Society (CCS),Active,237.32m,34.59m,14.46m,71900,40900,141297,0,2,13-Jan-21,4,Sanctioned,42.17014,36.68147,9.4 kn,346 °,81 °,2025-11-10 21:12 (UTC+0),Drifting,Roaming,93%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
AL SAFA,9222649,GN,Sanctioned,LIQUID TANKER,25,-,MANARAT ALKHALEEJ MARINE,BLUE PEARL NAVIGATION,MANARAT ALKHALEEJ MARINE,Kamsar,FPBY1,268915969,Bureau Veritas,Inactive,117.56m,20.12m,8.75m,42704,25446,78565,0,2,31-May-06,3,Sanctioned,19.03797,64.36668,2.4 kn,308 °,292 °,2024-03-20 05:59 (UTC+0),Underway Using Engine,Good,99%,1,1,1,Yes,Yes,Yes,3,Sanctions listing,0,0,0,No,Yes,High-risk tanker corridor,25°C,8 m/s,1m,slight sea conditions,No,No,No,No,Yes
ALARA,9741724,RU,Sanctioned,BULK CARRIER,11,ARTVIN DENIZCILIK VE TICARET LTD STI,BULKLINE JSC,BULKLINE JSC,BULKLINE JSC,Rostov-on-Don,KUNZ2,794403485,Turkish Lloyd (TL),Inactive,130.12m,23.38m,16.12m,17274,10570,30855,0,2,29-May-24,4,Sanctioned,44.35654,31.30854,5.5 kn,289 °,223 °,2024-05-05 07:23 (UTC+0),At Anchor,Moderate,76%,0,0,0,Yes,Yes,Yes,3,Sanctions listing,0,0,0,Yes,Yes,Black Sea,8°C,12 m/s,2m,moderate sea conditions,No,Yes,No,Yes,Yes
